subject,title,author,appearances,score
English Literature,A Writer's Reference,Diana Hacker,8279,100
English Literature,They Say/I Say: The Moves That Matter in Academic Writing,Gerald Graff,6467,100
English Literature,The Canterbury Tales,Geoffrey Chaucer,4904,100
English Literature,Frankenstein,Mary Wollstonecraft Shelley,4789,100
English Literature,A Pocket Style Manual,Diana Hacker,4389,100
English Literature,The Yellow Wallpaper,Charlotte Perkins Gilman,3824,99
English Literature,Paradise Lost,John Milton,3781,100
English Literature,The Bedford Handbook,Diana Hacker,3714,96
English Literature,Prufrock and Other Observations,T. S. Eliot,3314,97
English Literature,Heart of Darkness,Joseph Conrad,3311,99
English Literature,The Little Seagull Handbook,Richard H. Bullock,3115,93
English Literature,The Story of an Hour,Kate Chopin,3074,95
English Literature,MLA Handbook for Writers of Research Papers,Joseph Gibaldi,3029,99
English Literature,A Rose for Emily,William Faulkner,2982,95
English Literature,The Things They Carried: A Work of Fiction,Tim O.'Brien,2710,96
English Literature,The Norton Field Guide to Writing,Richard H. Bullock,2705,90
English Literature,The Elements of Style,William Strunk,2639,100
English Literature,Rules for Writers: A Brief Handbook,Diana Hacker,2619,93
English Literature,A Good Man Is Hard to Find and Other Stories,Flannery O.'Connor,2611,92
English Literature,Easy Writer: A Pocket Reference,Andrea A. Lunsford,2518,91
English Literature,A Modest Proposal,Jonathan Swift,2491,94
English Literature,Young Goodman Brown and Other Tales,Nathaniel Hawthorne,2392,92
English Literature,Letter From the Birmingham Jail,Martin Luther King,2391,99
English Literature,Hamlet,William Shakespeare,2373,98
English Literature,Oedipus the King,Sophocles,2349,99
English Literature,The Concise Wadsworth Handbook,Laurie G. Kirszner,2232,84
English Literature,Incidents in the Life of a Slave Girl,Harriet A. Jacobs,2098,96
English Literature,Hills Like White Elephants,Ernest Hemingway,2091,88
English Literature,Their Eyes Were Watching God,Zora Neale Hurston,2053,92
English Literature,Everyday Use,Alice Walker,2043,87
English Literature,The Norton Anthology of American Literature,Nina Baym,2021,90
English Literature,Things Fall Apart,Chinua Achebe,2001,98
English Literature,Gulliver's Travels,Jonathan Swift,1982,95
English Literature,Invisible Man,Ralph Ellison,1970,94
English Literature,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,1945,98
English Literature,Beloved,Toni Morrison,1905,95
English Literature,A Room of One's Own,Virginia Woolf,1877,95
English Literature,The Odyssey,Homer,1875,98
English Literature,Inferno,Dante Alighieri,1873,95
English Literature,Jane Eyre,Charlotte Bronte,1871,95
English Literature,Bartleby the Scrivener,Herman Melville,1852,89
English Literature,The Great Gatsby,F. Scott Fitzgerald,1836,95
English Literature,The Lottery,Shirley Jackson,1828,84
English Literature,The Everyday Writer,Andrea A. Lunsford,1793,82
English Literature,To His Coy Mistress,Andrew Marvell,1731,86
English Literature,Walden,Henry David Thoreau,1720,93
English Literature,The Metamorphosis,Franz Kafka,1713,93
English Literature,Patterns for College Writing: A Rhetorical Reader and Guide,Laurie G. Kirszner,1708,76
English Literature,The Awakening,Kate Chopin,1702,90
English Literature,The Norton Anthology of English Literature,Stephen Greenblatt,1698,89
English Literature,A Vindication of the Rights of Woman,Mary Wollstonecraft,1696,97
English Literature,The Tempest,William Shakespeare,1663,94
English Literature,Pride and Prejudice,Jane Austen,1656,95
English Literature,The Souls of Black Folk,W. E. B. Du Bois,1655,99
English Literature,My Last Duchess,Robert Browning,1654,88
English Literature,Adventures of Huckleberry Finn,Mark Twain,1649,91
English Literature,The Aeneid,Virgil,1634,98
English Literature,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1594,89
English Literature,Trifles,Susan Glaspell,1574,82
English Literature,The Cask of Amontillado,Edgar Allan Poe,1566,84
English Literature,Ode on a Grecian Urn,John Keats,1552,88
English Literature,Poetics,Aristotle,1546,99
English Literature,Uncle Tom's Cabin,Harriet Beecher Stowe,1529,92
English Literature,Cathedral,Raymond Carver,1524,77
English Literature,Technical Communication,Michael H. Markel,1517,76
English Literature,Metamorphoses,Ovid,1516,96
English Literature,The Faerie Queene,Edmund Spenser,1515,87
English Literature,Antigone,Sophocles,1502,97
English Literature,Songs of Innocence and of Experience,William Blake,1495,89
English Literature,The Fall of the House of Usher,Edgar Allan Poe,1493,83
English Literature,Araby,James Joyce,1489,80
English Literature,Othello,William Shakespeare,1477,91
English Literature,A Midsummer Night's Dream,William Shakespeare,1469,94
English Literature,"The Norton Field Guide to Writing, With Readings and Handbook",Maureen Daly Goggin,1453,67
English Literature,The Importance of Being Earnest,Oscar Wilde,1451,92
English Literature,A Doll's House,Henrik Ibsen,1450,92
English Literature,Dulce Et Decorum Est,Wilfred Owen,1450,85
English Literature,Shakespeare's Sonnets,William Shakespeare,1441,87
English Literature,Writing Today,Richard Johnson-Sheehan,1441,70
English Literature,The Rape of the Lock,Alexander Pope,1435,86
English Literature,"Where Are You Going, Where Have You Been?: Selected Early Stories",Joyce Carol Oates,1429,73
English Literature,Civil Disobedience,Henry David Thoreau,1423,93
English Literature,Lines Composed a Few Miles Above Tintern Abbey,William Wordsworth,1419,88
English Literature,The House on Mango Street,Sandra Cisneros,1418,87
English Literature,Sonny's Blues,James Baldwin,1418,75
English Literature,Wuthering Heights,Emily Bronte,1414,92
English Literature,Oroonoko,Aphra Behn,1400,82
English Literature,Dracula,Bram Stoker,1377,92
English Literature,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,1376,83
English Literature,Song of Myself,Walt Whitman,1369,79
English Literature,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1338,90
English Literature,Death of a Salesman: Certain Private Conversations in Two Acts and a Requiem,Arthur Miller,1308,92
English Literature,Mrs. Dalloway,Virginia Woolf,1305,90
English Literature,Self-Reliance,Ralph Waldo Emerson,1302,86
English Literature,"The Little, Brown Handbook",H. Ramsey Fowler,1289,78
English Literature,The Waste Land,T. S. Eliot,1287,86
English Literature,The Bluest Eye,Toni Morrison,1264,88
English Literature,Steps to Writing Well: With Additional Readings,Jean Wyrick,1261,64
English Literature,A Portrait of the Artist as a Young Man,James Joyce,1255,88
English Literature,A Raisin in the Sun,Lorraine Hansberry,1247,88
Business,A Writer's Reference,Diana Hacker,1668,100
Business,Leadership: Theory and Practice,Peter Guy Northouse,1328,96
Business,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,1252,97
Business,Organizational Behavior,Stephen P. Robbins,1210,97
Business,Fundamentals of Financial Management,Eugene F. Brigham,1207,79
Business,Understanding Business,William G. Nickels,1161,64
Business,The Leadership Challenge: How to Make Extraordinary Things Happen in Organizations,James M. Kouzes,1086,89
Business,Corporate Finance,Stephen A. Ross,1062,91
Business,Essentials of Investments,Zvi Bodie,1013,69
Business,Business Communication: Process and Product,Mary Ellen Guffey,990,77
Business,Operations Management,William J. Stevenson,978,69
Business,Good to Great,James C. Collins,911,86
Business,Fundamentals of Corporate Finance,Randolph Westerfield,833,82
Business,Operations and Supply Chain Management,F. Robert Jacobs,823,61
Business,Financial Management,Michael C. Ehrhardt,809,70
Business,Essentials of Corporate Finance,Randolph W. Westerfield,807,48
Business,Investments,Zvi Bodie,798,93
Business,Strategic Management: Competitiveness and Globalization,Michael A. Hitt,788,71
Business,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,780,73
Business,Essentials of Business Communication,Mary Ellen Guffey,774,68
Business,Human Resource Management,Robert L. Mathis,732,54
Business,The Elements of Style,William Strunk,731,100
Business,Principles of Corporate Finance,Richard A. Brealey,729,96
Business,Operations Management,Jay Heizer,728,72
Business,The Fifth Discipline,Peter M. Senge,714,91
Business,Leading Change,John P. Kotter,711,84
Business,Organizational Culture and Leadership,Edgar H. Schein,661,85
Business,Management Information Systems: Managing the Digital Firm,Kenneth C. Laudon,641,91
Business,"Reframing Organizations: Artistry, Choice, and Leadership",Lee G. Bolman,631,73
Business,Negotiation,Roy J. Lewicki,629,54
Business,Human Relations in Organizations: Applications and Skill Building,Robert N. Lussier,608,33
Business,Small Business Management: An Entrepreneurial Emphasis,Justin G. Longenecker,590,42
Business,Practical Business Math Procedures,Jeffrey Slater,581,38
Business,Management: A Practical Introduction,Angelo Kinicki,580,31
Business,Strategic Management: Concepts and Cases,Fred R. David,574,63
Business,Corporate Social Responsibility,International Summit on Corporate Social Responsibility,568,83
Business,Fundamentals of Human Resource Management,Raymond A. Noe,562,31
Business,Global Business Today,Charles W. L. Hill,557,63
Business,The Gregg Reference Manual,William A. Sabin,552,59
Business,Project Management: The Managerial Process,Erik W. Larson,542,82
Business,The 7 Habits of Highly Effective People,Stephen R. Covey,538,89
Business,Business Model Generation,Alexander Osterwalder,532,88
Business,The World Is Flat: A Brief History of the Twenty-First Century,Thomas L. Friedman,527,87
Business,Competitive Strategy,Michael E. Porter,521,83
Business,Employee Training and Development,Raymond A. Noe,519,52
Business,Leading Change: Why Transformation Efforts Fail,John Kotter,514,57
Business,Essentials of Organizational Behavior,Stephen P. Robbins,506,43
Business,"Business Law: Text and Cases: Legal, Ethical, Global, and Corporate Environment",Kenneth W. Clarkson,501,32
Business,What Makes a Leader?,Daniel Goleman,499,43
Business,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,467,55
Business,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton Gordon Malkiel,466,51
Business,"Business Law Today: The Essentials: Text and Summarized Cases--E-Commerce, Legal, Ethical, and International Environment",Roger LeRoy Miller,460,29
Business,Managing Human Resources,George W. Bohlander,453,43
Business,The Social Responsibility of Business Is to Increase Its Profits,Milton Friedman,452,59
Business,Strategic Management and Business Policy,Thomas L. Wheelen,451,44
Business,Business Ethics: Ethical Decision Making and Cases,O. C. Ferrell,447,38
Business,International Business: Competing in the Global Marketplace,Charles W. L. Hill,445,81
Business,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,444,64
Business,"On the Folly of Rewarding A, While Hoping for B",Steven Kerr,436,32
Business,Management,Richard L. Daft,430,47
Business,Business and Administrative Communication,Kitty O. Locker,429,50
Business,"Business Law: The Ethical, Global, and E-Commerce Environment",Jane P. Mallor,423,36
Business,Intermediate Financial Management,Phillip R. Daves,413,23
Business,Information Technology Project Management,Kathy Schwalbe,412,58
Business,Business English,Mary Ellen Guffey,412,34
Business,Corporate Social Responsibility,Society for Human Resource Management,407,85
Business,A Guide to the Project Management Body of Knowledge,Project Management Institute,405,76
Business,Financial Markets and Institutions,Frederic S. Mishkin,404,61
Business,What Leaders Really Do,John P. Kotter,402,42
Business,MGMT,Chuck Williams,400,22
Business,Organization Theory and Design,Richard L. Daft,396,43
Business,A Guide to the Project Management Body of Knowledge (PMBOK Guide),Project Management Institute,391,79
Business,Using MIS,David M. Kroenke,391,28
Business,Strategic Management: Creating Competitive Advantages,Gregory G. Dess,390,29
Business,Fundamentals of Management: Essential Concepts and Applications,Stephen P. Robbins,389,61
Business,Business Communication: Developing Leaders for a Networked World,Peter W. Cardon,385,32
Business,Corporate Finance,Peter DeMarzo,381,74
Business,"The Legal Environment of Business: Text and Cases: Ethical, Regulatory, Global, and Corporate Issues",Frank B. Cross,381,24
Business,Retailing Management,Barton A. Weitz,380,64
Business,The Seven Habits of Highly Effective People: Restoring the Character Ethic,Stephen R. Covey,375,75
Business,Foundations of Finance: The Logic and Practice of Financial Management,Arthur J. Keown,375,24
Business,Personal Financial Planning: Workbook,Michael D. Joehnk,369,24
Business,Management of Organizational Behavior: Utilizing Human Resources,Paul Hersey,368,39
Business,Balanced Scorecard,Robert S. Kaplan,358,61
Business,Analysis for Financial Management,Robert C. Higgins,358,31
Business,Business Essentials,Ronald J. Ebert,357,30
Business,Real Estate Principles: A Value Approach,David C. Ling,353,21
Business,Labor Relations: Striking a Balance,John W. Budd,352,19
Business,International Financial Management,Jeff Madura,349,60
Business,International Financial Management,Cheol S. Eun,349,50
Business,"Options, Futures, and Other Derivatives",John Hull,347,94
Business,"Designing and Managing the Supply Chain: Concepts, Strategies, and Case Studies",David Simchi-Levi,345,70
Business,The Leadership Experience,Richard L. Daft,345,37
Business,Entrepreneurship: Successfully Launching New Ventures,Bruce R. Barringer,344,59
Business,Better Business,Mary Anne Poatsy,344,18
Business,Management: The New Competitive Landscape,Scott Snell,343,20
Business,Principles of Managerial Finance,Lawrence J. Gitman,342,49
Business,Emotional Intelligence,Daniel Goleman,341,94
Business,Who Moved My Cheese?,Spencer Johnson,337,66
Business,Management: Leading and Collaborating in a Competitive World,Thomas S. Bateman,337,22
Mathematics,Calculus,James Stewart,7714,100
Mathematics,Intermediate Algebra,K. Elayn Martin-Gay,5701,99
Mathematics,Calculus: Early Transcendental Functions,Ron Larson,3351,95
Mathematics,College Algebra,Robert Blitzer,3347,94
Mathematics,College Algebra,Margaret L. Lial,2770,90
Mathematics,Elementary Statistics,Mario F. Triola,2749,92
Mathematics,Intermediate Algebra,Margaret L. Lial,2326,86
Mathematics,Thinking Mathematically,Robert Blitzer,2214,84
Mathematics,Precalculus,Michael Sullivan,2076,83
Mathematics,Essential Calculus: Early Transcendentals,James Stewart,2074,84
Mathematics,A Problem Solving Approach to Mathematics for Elementary School Teachers,Rick Billstein,1949,81
Mathematics,Linear Algebra and Its Applications,David C. Lay,1727,87
Mathematics,College Algebra,Michael Sullivan,1582,72
Mathematics,Statistics: Informed Decisions Using Data,Michael Sullivan,1524,71
Mathematics,Prealgebra and Introductory Algebra,Marvin L. Bittinger,1479,68
Mathematics,Discrete Mathematics and Its Applications,Kenneth H. Rosen,1478,95
Mathematics,Thomas' Calculus,Joel Hass,1478,79
Mathematics,Using and Understanding Mathematics: A Quantitative Reasoning Approach,Jeffrey O. Bennett,1473,70
Mathematics,Algebra and Trigonometry: Enhanced With Graphing Utilities,Michael Sullivan,1374,70
Mathematics,Elementary Statistics: Picturing the World,Ron Larson,1362,66
Mathematics,Elementary Statistics: A Step by Step Approach,Allan G. Bluman,1337,70
Mathematics,Mathematics With Applications,Margaret L. Lial,1223,61
Mathematics,Introduction to the Practice of Statistics,George P. McCabe,1212,82
Mathematics,Trigonometry,Margaret L. Lial,1199,59
Mathematics,Calculus,William L. Briggs,1189,63
Mathematics,College Algebra,Ron Larson,1137,57
Mathematics,College Algebra: Graphs and Models,Marvin L. Bittinger,1079,53
Mathematics,Essentials of Statistics,Mario F. Triola,1074,55
Mathematics,Beginning and Intermediate Algebra,Margaret L. Lial,1022,51
Mathematics,Single Variable Calculus,James Stewart,1019,62
Mathematics,Elementary Differential Equations and Boundary Value Problems,Richard C. DiPrima,1007,72
Mathematics,Calculus,Jon Rogawski,971,51
Mathematics,University Calculus,Joel Hass,942,50
Mathematics,Introductory Algebra,D. Franklin Wright,915,46
Mathematics,Finite Mathematics and Calculus With Applications,Margaret L. Lial,888,46
Mathematics,Calculus With Applications,Margaret L. Lial,875,48
Mathematics,A Survey of Mathematics With Applications,Christine D. Abbott,860,43
Mathematics,Precalculus,Robert Blitzer,846,43
Mathematics,"College Mathematics for Business, Economics, Life Sciences, and Social Sciences",Karl Byleen,796,41
Mathematics,College Algebra,Paul Sisson,789,39
Mathematics,The Basic Practice of Statistics,David S. Moore,764,65
Mathematics,Precalculus With Limits,Ron Larson,744,39
Mathematics,Mathematical Reasoning for Elementary Teachers,Duane W. DeTemple,744,38
Mathematics,Discrete Mathematics With Applications,Susanna S. Epp,726,55
Mathematics,Prealgebra,K. Elayn Martin-Gay,722,37
Mathematics,Beginning and Intermediate Algebra,Julie Miller,720,36
Mathematics,Elementary Differential Equations,William E. Boyce,708,43
Mathematics,Precalculus,Ron Larson,701,39
Mathematics,A First Course in Probability,Sheldon M. Ross,687,73
Mathematics,Calculus and Its Applications,Marvin L. Bittinger,680,36
Mathematics,Mathematical Ideas,Miller; Heeren Hornsby,653,35
Mathematics,Algebra and Trigonometry,Robert Blitzer,641,33
Mathematics,Trigonometry,Mark Dugopolski,636,32
Mathematics,Calculus,Deborah Hughes-Hallett,608,37
Mathematics,Multivariable Calculus,James Stewart,606,52
Mathematics,Basic College Mathematics With Early Integers,K. Elayn Martin-Gay,606,30
Mathematics,Algebra for College Students,Robert Blitzer,604,30
Mathematics,Introductory Algebra,Marvin L. Bittinger,596,35
Mathematics,Intermediate Algebra for College Students,Robert Blitzer,590,29
Mathematics,Statistical Inference,George Casella,586,65
Mathematics,Intermediate Algebra: Concepts and Applications,Marvin L. Bittinger,576,49
Mathematics,Developmental Mathematics,D. Franklin Wright,572,37
Mathematics,Principles of Mathematical Analysis,Walter Rudin,570,74
Mathematics,Elementary and Intermediate Algebra: Graphs and Models,Marvin L. Bittinger,563,29
Mathematics,Probability and Statistics for Engineering and the Sciences,Jay L. Devore,560,62
Mathematics,Abstract Algebra,David Steven Dummit,560,49
Mathematics,Precalculus Mathematics for Calculus,L. Redlin,559,31
Mathematics,Introductory and Intermediate Algebra for College Students,Robert Blitzer,559,28
Mathematics,Essentials of College Algebra,Margaret L. Lial,559,28
Mathematics,Reconceptualizing Mathematics: For Elementary School Teachers,Judith T. Sowder,555,31
Mathematics,Excursions in Modern Mathematics,Peter Tannenbaum,554,29
Mathematics,Calculus of a Single Variable,Ron Larson,546,36
Mathematics,Mathematics: A Practical Odyssey,David B. Johnson,540,28
Mathematics,Applied Calculus,Deborah Hughes-Hallett,530,27
Mathematics,Elementary Linear Algebra,Howard Anton,529,69
Mathematics,Precalculus: Functions and Graphs,Earl William Swokowski,504,28
Mathematics,Trigonometry,Charles P. McKeague,488,25
Mathematics,Elementary and Intermediate Algebra,Janet Mazzarella,488,25
Mathematics,Contemporary Abstract Algebra,Joseph A. Gallian,486,48
Mathematics,Mathematics for Elementary Teachers: A Contemporary Approach,Gary L. Musser,483,31
Mathematics,College Algebra,Julie Miller,476,24
Mathematics,Elementary Linear Algebra,Ron Larson,473,36
Mathematics,Statistics: The Art and Science of Learning From Data,Alan Agresti,472,32
Mathematics,Finite Mathematics,Margaret L. Lial,469,24
Mathematics,Calculus Early Transcendentals,George Brinton Thomas,468,25
Mathematics,Understandable Statistics: Concepts and Methods,Charles Henry Brase,460,25
Mathematics,Basic Mathematics,Charles P. McKeague,447,23
Mathematics,Fundamentals of Statistics,Michael Sullivan,441,24
Mathematics,Elementary and Intermediate Algebra,Tom Carson,440,22
Mathematics,A First Course in Abstract Algebra,John B. Fraleigh,439,56
Mathematics,College Algebra,Mark Dugopolski,437,22
Mathematics,Thomas' Calculus: Early Transcendentals,Maurice D. Weir,432,23
Mathematics,Differential Equations,Paul Blanchard,426,24
Mathematics,College Algebra,R. David Gustafson,426,21
Mathematics,Introductory Algebra for College Students,Robert Blitzer,425,22
Mathematics,"Mathematical Applications for the Management, Life, and Social Sciences",Ronald J. Harshbarger,417,25
Mathematics,Introduction to Mathematical Statistics,Robert V. Hogg,416,67
Mathematics,Beginning and Intermediate Algebra,Sherri Messersmith,414,21
Mathematics,How to Lie With Statistics,Darrell Huff,408,70
Mathematics,Statistics for Management and Economics,Gerald Keller,408,59
Psychology,Exploring Psychology,David G. Myers,2443,89
Psychology,Psychology,David G. Myers,1660,85
Psychology,Mastering the World of Psychology,Samuel E. Wood,1224,59
Psychology,Theory and Practice of Counseling and Psychotherapy,Gerald Corey,1172,80
Psychology,Social Psychology,David G. Myers,1151,77
Psychology,Self-Actualization,Abraham H. Maslow,1016,68
Psychology,The Science of Psychology: An Appreciative View,Laura A. King,995,49
Psychology,Social Psychology,Elliot Aronson,989,73
Psychology,Methods in Behavioral Research,Paul C. Cozby,980,64
Psychology,Discovering Psychology,Don H. Hockenbury,953,49
Psychology,Psychology in Action,Karen Huffman,950,52
Psychology,Psychology: Themes and Variations,Wayne Weiten,942,76
Psychology,Psychology,Saundra K. Ciccarelli,939,57
Psychology,Invitation to the Life Span,Kathleen Stassen Berger,870,44
Psychology,Abnormal Psychology,Ronald J. Comer,843,49
Psychology,The Developing Person Through the Life Span,Kathleen Stassen Berger,797,52
Psychology,Counseling the Culturally Diverse: Theory and Practice,Derald Wing Sue,739,55
Psychology,Biological Psychology,James W. Kalat,719,65
Psychology,Abnormal Psychology: An Introduction,Vincent Mark Durand,695,59
Psychology,The Developing Person,Kathleen Stassen Berger,690,42
Psychology,Our Sexuality,Robert Crooks,686,45
Psychology,The Theory and Practice of Group Psychotherapy,Irvin D. Yalom,680,75
Psychology,Issues and Ethics in the Helping Professions,Gerald Corey,670,63
Psychology,Life-Span Development,John W. Santrock,655,56
Psychology,Psychology: The Adaptive Mind,James S. Nairne,648,35
Psychology,Psychology in Everyday Life,David G. Myers,643,33
Psychology,Man's Search for Meaning: An Introduction to Logotherapy,Viktor E. Frankl,623,81
Psychology,The Elements of Style,William Strunk,620,100
Psychology,Social Psychology,Saul M. Kassin,605,43
Psychology,Psychology,Don H. Hockenbury,557,29
Psychology,Intentional Interviewing and Counseling: Facilitating Client Development in a Multicultural Society,Allen E. Ivey,541,53
Psychology,I Never Knew I Had a Choice,Gerald Corey,540,33
Psychology,Fundamentals of Abnormal Psychology,Ronald J. Comer,529,32
Psychology,Psychological Science,Michael S. Gazzaniga,516,33
Psychology,The Complete Adult Psychotherapy Treatment Planner,Arthur E. Jongsma,498,31
Psychology,Groups: Process and Practice,Marianne Schneider Corey,493,71
Psychology,The Gift of Therapy: An Open Letter to a New Generation of Therapists and Their Patients,Irvin D. Yalom,493,40
Psychology,A Short Guide to Writing About Psychology,Dana Dunn,487,26
Psychology,Life-Span Human Development,Carol K. Sigelman,482,36
Psychology,Family Therapy: Concepts and Methods,Michael P. Nichols,481,42
Psychology,Exploring Lifespan Development,Laura E. Berk,467,33
Psychology,The Skilled Helper: A Problem-Management and Opportunity-Development Approach to Helping,Gerard Egan,466,90
Psychology,"The Internship, Practicum, and Field Placement Handbook: A Guide for the Helping Professions",Brian N. Baird,460,53
Psychology,Post-Traumatic Stress Disorder,Institute of Mental Health,457,59
Psychology,Research Methods in Psychology: Evaluating a World of Information,Beth Morling,453,27
Psychology,Visualizing Psychology,Siri Carpenter,451,23
Psychology,Research Methods in Psychology,John J. Shaughnessy,448,40
Psychology,Sensation and Perception,E. Bruce Goldstein,445,51
Psychology,Adolescence,John W. Santrock,445,38
Psychology,Human Development: A Cultural Approach,Jeffrey Jensen Arnett,440,23
Psychology,Development Through the Lifespan,Laura E. Berk,438,53
Psychology,Moral Development,Kohlberg,437,82
Psychology,Human Development: A Life-Span View,Robert V. Kail,432,31
Psychology,Psychology Applied to Modern Life: Adjustment in the 21st Century,Wayne Weiten,429,34
Psychology,Essentials of Statistics for the Behavioral Sciences,Frederick J. Gravetter,427,46
Psychology,Biopsychology,John P. J. Pinel,412,67
Psychology,Individual Psychology,Alfred Adler,411,29
Psychology,The Personality Puzzle,David Charles Funder,407,27
Psychology,Handbook of Social Psychology,Gardner Lindzey,403,52
Psychology,Psychology: A Journey,Dennis Coon,389,22
Psychology,Current Psychotherapies,Raymond J. Corsini,386,41
Psychology,Human Development,Diane E. Papalia,385,43
Psychology,Genograms: Assessment and Intervention,Monica McGoldrick,384,39
Psychology,Theories of Personality,Jess Feist,383,24
Psychology,Foundations of Sport and Exercise Psychology,Robert S. Weinberg,382,66
Psychology,Essentials of Life-Span Development,John W. Santrock,378,21
Psychology,Physiology of Behavior,Neil R. Carlson,377,60
Psychology,Social Cognitive Theory,Albert Bandura,376,50
